Query_ID,Query,Generated_Answer,Latency_Seconds,Top_1_Page_Accuracy,Top_3_Page_Accuracy,Top_5_Page_Accuracy,Page_Recall,BLEU_Score,ROUGE_L_F1,BERTScore_F1
car_start_click,"My car won’t start, and I hear a clicking sound when I turn the key. What is the problem?","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",34.031,1,1,1,1,0.004,0.033,0.829
car_overheat,What should I do if my car engine overheats while driving?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",1.437,1,1,1,1,0.0,0.0,0.835
wrong_fuel,I accidentally put petrol in my diesel car. What do I do?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.545,0,0,1,1,0.007,0.075,0.84
check_engine_blinking,The check engine light is blinking steadily while I am driving. Is this serious?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.216,1,1,1,1,0.012,0.075,0.836
ac_leak_diagnosis,My car is leaking fluid. How do I know if it is an AC leak or something else?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.217,0,0,0,0,0.005,0.036,0.821
bike_wont_start_battery_ok,My motorcycle engine doesn’t start even though the battery is fine. What could be the issue?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.336,0,0,1,1,0.0,0.0,0.832
truck_black_smoke,My truck’s exhaust is blowing black smoke. What does this mean?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.956,1,1,1,1,0.0,0.0,0.826
hybrid_start_issue,My hybrid car won’t start or cranks slowly. What should I check?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.327,1,1,1,1,0.007,0.039,0.833
tire_blowout,My truck had a tyre blowout on the highway. What should I do?,"Step 1: Move to a safe location, turn on hazard lights.
Step 2: Inspect the tire, check for damage, ...",0.516,0,0,0,0,0.028,0.338,0.902
electric_bike_range,My electric bike’s range suddenly dropped. What is the cause?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.37,1,1,1,1,0.0,0.0,0.829
brake_shake,My car shakes when I apply brakes. Why is this happening?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.253,1,1,1,1,0.007,0.12,0.839
flat_tire_signs,What are the signs of a flat tire while driving?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.31,1,1,1,1,0.0,0.0,0.824
hard_steering,My steering wheel is hard to turn. What could be the cause?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.4,1,1,1,1,0.0,0.0,0.828
squealing_start,Why is my car making a loud squealing noise when I start it?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.432,1,1,1,1,0.0,0.0,0.832
dim_headlights,My headlights are dim even though I changed the bulbs. What could be wrong?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.414,0,0,0,0,0.0,0.0,0.826
whining_acceleration,My car makes a whining noise when accelerating. What is the issue?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.198,1,1,1,1,0.008,0.043,0.833
car_stalls_stop,My car stalls at stop signs. What should I do?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.218,1,1,1,1,0.007,0.042,0.821
crank_no_start,My engine cranks but won’t start. What could be the reason?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.196,0,0,0,0,0.006,0.038,0.829
tire_humming,I hear a humming sound from my tires while driving. Is it normal?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.353,1,1,1,1,0.0,0.0,0.828
check_engine_solid,The check engine light comes on and stays on. What does it mean?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.356,1,1,1,1,0.0,0.0,0.835
battery_loose,My battery terminals are loose. How do I fix this?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.3,0,0,0,0,0.006,0.038,0.833
ignition_switch,My ignition key won't turn. Is the switch faulty?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.353,0,0,0,0,0.004,0.034,0.834
immobilizer_issue,The immobilizer system is preventing the vehicle from starting.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.288,0,0,0,0,0.004,0.034,0.833
clicking_no_crank,"The engine doesn't crank, but there's a clicking sound.","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.386,0,0,0,0,0.008,0.043,0.831
engine_seized,My mechanic says the engine is seized. What does that mean?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.201,0,1,1,1,0.005,0.069,0.836
slow_crank,The engine is cranking very slowly.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.198,0,0,1,1,0.0,0.0,0.829
grinding_start,"It's cranking slowly, and there's a grinding noise.","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.256,0,1,1,1,0.0,0.0,0.833
spinning_noise,It's cranking fast and there's a spinning noise.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.197,0,0,1,1,0.004,0.069,0.839
ac_leak,How do I diagnose an AC refrigerant leak?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.253,0,0,1,1,0.0,0.0,0.833
ac_compressor,My AC compressor is not turning on. What should I check?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.192,0,0,1,1,0.0,0.0,0.829
condenser_fan,The AC condenser fan is not turning on.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.287,0,0,0,0,0.0,0.0,0.83
cabin_filter,There is little to no airflow from my AC vents.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.282,0,0,0,0,0.0,0.0,0.835
blower_motor,Diagnosing a bad blower motor.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.462,0,0,0,0,0.006,0.077,0.835
vent_control,Air is coming from the wrong vents (defrost instead of face).,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.329,0,0,0,0,0.0,0.0,0.837
toyota_ac,Troubleshooting AC Issues in a Toyota Corolla.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.223,0,0,0,0,0.0,0.0,0.832
honda_accord_ac,Why is it urgent to fix the AC in a Honda Accord?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.269,0,0,0,0,0.0,0.0,0.831
nissan_altima_ac,What are the common causes of AC issues in a Nissan Altima?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",1.055,0,1,1,1,0.0,0.0,0.827
engine_overheat_fix,Common reasons for an overheating car engine.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.504,0,0,0,0,0.008,0.043,0.83
radiator_fan_bad,How do I know if my radiator fan is bad?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.283,0,0,0,0,0.004,0.068,0.834
thermostat_fail,How do I know if my thermostat has failed?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.668,0,1,1,1,0.0,0.0,0.82
honda_crv_overheat,What to check when your Honda CR-V is overheating?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.319,1,1,1,1,0.0,0.0,0.826
key_wont_turn,What to do if your ignition key won’t turn?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.248,0,0,0,0,0.005,0.035,0.825
dead_battery_key,Key won't turn because the battery is dead.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.538,0,0,0,0,0.0,0.0,0.829
gear_selector_park,Transmission gear selector is not in park or neutral.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.252,0,1,1,1,0.006,0.038,0.828
worn_key,The key is worn out or damaged.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.253,0,0,0,0,0.005,0.034,0.832
ignition_obstruction,You have a physical obstruction in the ignition lock mechanism.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.192,0,0,0,0,0.006,0.039,0.825
altima_key_issue,Why is the key not turning in a Nissan Altima?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.292,0,0,0,0,0.007,0.038,0.831
camry_key_issue,Troubleshooting key ignition issues in a Toyota Camry.,"Step 1: Check battery voltage.
Step 2: Inspect ignition switch and key fob.
Step 3: Consult a mechan...",0.598,1,1,1,1,0.028,0.32,0.91
corolla_key_issue,What to do when your Toyota Corolla key won’t turn?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.319,1,1,1,1,0.0,0.0,0.833
oil_leak_signs,Warning signs that you have an oil leak.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.228,1,1,1,1,0.0,0.0,0.831
oil_filter_leak,Oil is leaking from the oil filter.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.274,1,1,1,1,0.0,0.0,0.834
drain_plug_leak,Oil leaking from the drain plug.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.189,0,0,1,1,0.0,0.042,0.832
